01001;Flensburg, Stadt;3;11;1;2;-;3
01002;Kiel, Landeshauptstadt;15;10;9;13;14;4
01003;L�beck, Hansestadt;4;12;2;7;7;3
01004;Neum�nster, Stadt;1;3;-;1;-;-
01051;Dithmarschen, Kreis;4;1;1;2;1;1
01053;Herzogtum Lauenburg, Kreis;3;7;1;2;2;4
01054;Nordfriesland, Kreis;1;2;1;3;6;7
01055;Ostholstein, Kreis;1;1;3;2;1;3
01056;Pinneberg, Kreis;5;4;2;6;3;5
01057;Pl�n, Kreis;-;3;1;-;2;1
01058;Rendsburg-Eckernf�rde, Kreis;1;7;5;8;5;13
01059;Schleswig-Flensburg, Kreis;4;4;3;5;-;3
01060;Segeberg, Kreis;-;1;2;3;2;1
01061;Steinburg, Kreis;-;2;1;-;4;-
01062;Stormarn, Kreis;4;4;6;2;5;3
02000;Hamburg, Freie und Hansestadt;40;59;46;51;56;44
03101;Braunschweig, Stadt;4;14;14;16;12;15
03102;Salzgitter, Stadt;3;7;3;2;2;-
03103;Wolfsburg, Stadt;-;5;4;3;3;-
03151;Gifhorn, Landkreis;6;2;2;3;4;3
03152;G�ttingen, Landkreis;29;15;22;19;56;39
03153;Goslar, Landkreis;12;5;2;-;-;2
03154;Helmstedt, Landkreis;-;-;1;1;-;1
03155;Northeim, Landkreis;3;7;1;1;1;3
03156;Osterode am Harz, Landkreis;1;-;2;1;3;1
03157;Peine, Landkreis;1;1;1;1;1;3
03158;Wolfenb�ttel, Landkreis;3;4;5;5;1;1
03201;Hannover, Landeshauptstadt;-;-;-;-;-;-
03241;Region Hannover;25;21;31;26;31;34
03251;Diepholz, Landkreis;-;1;5;2;3;2
03252;Hameln-Pyrmont, Landkreis;4;5;2;1;2;5
03253;Hannover, Landkreis;-;-;-;-;-;-
03254;Hildesheim, Landkreis;2;12;7;5;13;8
03255;Holzminden, Landkreis;2;1;-;1;2;-
03256;Nienburg (Weser), Landkreis;4;1;-;-;1;4
03257;Schaumburg, Landkreis;7;-;-;1;1;4
03351;Celle, Landkreis;3;4;2;4;2;4
03352;Cuxhaven, Landkreis;2;5;-;4;2;1
03353;Harburg, Landkreis;1;3;2;4;4;2
03354;L�chow-Dannenberg, Landkreis;-;2;1;1;-;1
03355;L�neburg, Landkreis;2;13;6;4;6;6
03356;Osterholz, Landkreis;1;1;1;-;4;3
03357;Rotenburg (W�mme), Landkreis;-;1;4;4;6;1
03358;Soltau-Fallingbostel, Landkreis;3;3;3;2;2;4
03359;Stade, Landkreis;1;1;4;1;6;6
03360;Uelzen, Landkreis;3;2;-;4;2;-
03361;Verden, Landkreis;1;-;2;1;1;2
03401;Delmenhorst, Stadt;-;-;-;2;-;-
03402;Emden, Stadt;-;-;-;-;-;1
03403;Oldenburg (Oldenburg), Stadt;1;7;1;10;3;7
03404;Osnabr�ck, Stadt;5;4;7;2;6;8
03405;Wilhelmshaven, Stadt;3;3;2;-;1;-
03451;Ammerland, Landkreis;-;-;-;1;1;1
03452;Aurich, Landkreis;1;-;3;5;4;4
03453;Cloppenburg, Landkreis;2;1;3;2;3;1
03454;Emsland, Landkreis;3;4;4;1;2;1
03455;Friesland, Landkreis;-;1;2;1;3;7
03456;Grafschaft Bentheim, Landkreis;-;3;-;1;-;-
03457;Leer, Landkreis;-;1;1;-;-;-
03458;Oldenburg, Landkreis;-;1;1;2;1;-
03459;Osnabr�ck, Landkreis;4;6;7;2;5;3
03460;Vechta, Landkreis;-;5;3;-;-;3
03461;Wesermarsch, Landkreis;3;-;1;2;2;2
03462;Wittmund, Landkreis;-;1;2;-;-;-
04011;Bremen, Stadt;12;22;28;28;13;18
04012;Bremerhaven, Stadt;-;2;1;2;2;6
05111;D�sseldorf, Stadt;10;21;26;14;33;44
05112;Duisburg, Stadt;4;7;14;5;10;8
05113;Essen, Stadt;11;11;20;16;16;16
05114;Krefeld, Stadt;2;2;-;10;6;7
05116;M�nchengladbach, Stadt;4;5;2;4;3;2
05117;M�lheim an der Ruhr, Stadt;1;6;6;4;1;4
05119;Oberhausen, Stadt;1;4;3;5;6;2
05120;Remscheid, Stadt;3;3;-;1;2;-
05122;Solingen, Stadt;5;2;4;1;1;1
05124;Wuppertal, Stadt;8;4;8;8;7;4
05154;Kleve, Kreis;6;1;6;11;4;2
05158;Mettmann, Kreis;7;7;6;6;7;2
05162;Neuss, Kreis;8;8;11;8;3;7
05166;Viersen, Kreis;2;1;1;3;8;3
05170;Wesel, Kreis;2;1;2;4;10;4
05313;Aachen, Stadt;-;-;-;-;-;-
05314;Bonn, Stadt;18;13;17;27;22;28
05315;K�ln, Stadt;22;30;43;30;34;29
05316;Leverkusen, Stadt;-;6;4;3;6;2
05334;St�dteregion Aachen (einschl. Stadt Aachen);24;20;28;24;21;21
05354;Aachen, Kreis;-;-;-;-;-;-
05358;D�ren, Kreis;4;4;5;5;5;6
05362;Erftkreis;5;12;5;1;8;4
05366;Euskirchen, Kreis;-;2;4;-;2;3
05370;Heinsberg, Kreis;6;-;1;3;2;6
05374;Oberbergischer Kreis;2;5;5;3;5;3
05378;Rheinisch-Bergischer Kreis;5;2;2;3;4;9
05382;Rhein-Sieg-Kreis;18;14;11;4;7;14
05512;Bottrop, Stadt;1;-;-;1;1;2
05513;Gelsenkirchen, Stadt;1;3;2;1;3;-
05515;M�nster, Stadt;19;17;12;17;15;17
05554;Borken, Kreis;2;3;4;3;-;7
05558;Coesfeld, Kreis;2;-;3;6;4;3
05562;Recklinghausen, Kreis;6;6;1;2;13;11
05566;Steinfurt, Kreis;3;10;7;12;10;12
05570;Warendorf, Kreis;7;2;2;3;3;8
05711;Bielefeld, Stadt;13;10;11;6;5;4
05754;G�tersloh, Kreis;1;5;4;7;3;4
05758;Herford, Kreis;7;1;3;1;2;3
05762;H�xter, Kreis;-;4;2;-;3;2
05766;Lippe, Kreis;5;8;12;3;13;8
05770;Minden-L�bbecke, Kreis;7;5;-;4;3;2
05774;Paderborn, Kreis;7;9;7;4;12;7
05911;Bochum, Stadt;11;11;3;4;3;8
05913;Dortmund, Stadt;11;8;9Altenburger;12;13;16
05914;Hagen, Stadt;-;2;2;3;1;5
05915;Hamm, Stadt;8;2;1;1;2;5
05916;Herne, Stadt;2;-;1;-;-;3
05954;Ennepe-Ruhr-Kreis;10;4;2;4;3;5
05958;Hochsauerlandkreis;4;7;5;4;3;4
05962;M�rkischer Kreis;7;6;9;8;5;7
05966;Olpe, Kreis;-;2;1;3;5;2
05970;Siegen-Wittgenstein, Kreis;6;2;6;10;5;3
05974;Soest, Kreis;5;7;3;2;5;6
05978;Unna, Kreis;3;3;4;1;3;4
06411;Darmstadt, Stadt;10;9;12;8;13;17
06412;Frankfurt am Main, Stadt;30;30;16;33;33;40
06413;Offenbach am Main, Stadt;10;1;7;6;13;6
06414;Wiesbaden, Landeshauptstadt;11;9;25;11;9;8
06431;Bergstra�e, Landkreis;7;3;3;3;9;1
06432;Darmstadt-Dieburg, Landkreis;7;2;7;8;7;5
06433;Gro�-Gerau, Landkreis;1;4;2;4;9;8
06434;Hochtaunuskreis;13;10;6;7;4;5
06435;Main-Kinzig-Kreis;9;7;5;7;3;13
06436;Main-Taunus-Kreis;4;4;5;3;11;14
06437;Odenwaldkreis;1;1;-;2;6;3
06438;Offenbach, Landkreis;5;4;11;3;9;9
06439;Rheingau-Taunus-Kreis;3;2;4;3;3;3
06440;Wetteraukreis;9;10;9;2;15;8
06531;Gie�en, Landkreis;20;13;12;6;13;14
06532;Lahn-Dill-Kreis;7;6;2;7;9;5
06533;Limburg-Weilburg, Landkreis;-;3;5;4;7;8
06534;Marburg-Biedenkopf, Landkreis;14;20;25;9;13;15
06535;Vogelsbergkreis;2;2;3;1;2;2
06611;Kassel, Stadt;14;17;7;13;13;11
06631;Fulda, Landkreis;12;9;11;9;11;12
06632;Hersfeld-Rotenburg, Landkreis;3;8;1;1;4;3
06633;Kassel, Landkreis;2;2;11;3;2;4
06634;Schwalm-Eder-Kreis;3;4;3;7;4;3
06635;Waldeck-Frankenberg, Landkreis;9;5;1;2;2;5
06636;Werra-Mei�ner-Kreis;-;3;1;2;3;2
07111;Koblenz, Stadt;9;2;5;4;7;5
07131;Ahrweiler, Kreis;2;3;3;3;-;5
07132;Altenkirchen (Westerwald), Kreis;5;1;2;3;1;-
07133;Bad Kreuznach, Kreis;2;3;2;3;3;1
07134;Birkenfeld, Kreis;-;1;-;3;2;3
07135;Cochem-Zell, Kreis;-;-;1;1;-;-
07137;Mayen-Koblenz, Kreis;6;4;1;-;2;1
07138;Neuwied, Kreis;-;1;3;2;1;4
07140;Rhein-Hunsr�ck-Kreis;1;-;-;-;1;1
